Senbonguchi,Yoshinoyama,Yoshinoyama Ropeway
Wakayama,Kishi,Wakayama Electric Railway Kishigawa Line
Gobo,Nishigobo,Kishi Railway
Kaizuka,Mizumakannon,Mizuma Railway
Hamaderaekimae,Sumiyoshitorii-mae,Hankai Tramway Hankai Line
Sumiyoshitorii-mae,Shin-Imamiya,Hankai Tramway Hankai Line
Sumiyoshitorii-mae,Kaminoki,Hankai Tramway Hankai Line
Kaminoki,Abeno,Hankai Tramway Hankai Line
Iga-Kambe,Uenoshi,Iga Tetsudo Line
Uenoshi,Iga-Ueno,Iga Tetsudo Line
Tsu,Suzuka Circuit Ino,Ise Railway
Suzuka Circuit Ino,Kawarada,Ise Railway
Utsube,Hinaga,Yokkaichi Asunarou Railway Utsube Line
Hinaga,Nishihino,Yokkaichi Asunarou Railway Hachioji Line
Hinaga,Kintetsu-Yokkaichi,Yokkaichi Asunarou Railway
Kintetsu-Tomida,Nishifujiwara,Sang Railway Sangi Line
Nishikuwana,Ageki,Sang Railway Hokusei Line
Shigaraki,Kibukawa,Ohmi Railway Main Line
Kibukawa,Yokaichi,Ohmi Railway Main Line
Yokaichi,Omi-Hachiman,Ohmi Railway Yokaichi Line
Yokaichi,Takamiya,Ohmi Railway Main Line
Takamiya,Tagataisha-mae,Ohmi Railway Taga Line
Takamiya,Hikone,Ohmi Railway Main Line
Hikone,Maibara,Ohmi Railway Main Line
Nishikuwana,Ogaki,Yoro Railway
Demachiyanagi,Takaragaike,Eizan Railway
Takaragaike,Kurama,Eizan Railway
Takaragaike,Yase-Hieizanguchi,Eizan Railway
Yase-Hieizanguchi,Cable Yase,Eizan Cable Line
Cable Yase,Cable Hiei,Eizan Cable Line
Cable Hiei,Rope Hiei,Eizan Cable Line
Rope Hiei,Hiei-Sancho,Eizan Ropeway
Cable Sakamoto,Cable Enryakuji,Sakamoto Cable
Torokko Kameoka,Torokko Saga,Sagano Scenic Railway
Torokko Saga,Randen-Saga,Sagano Scenic Railway
Randen-Saga,Katabiranotsuji,Randen Arashiyama-Line
Katabiranotsuji,Kitano-Hakubaicho,Randen Kitano-Line
Katabiranotsuji,Randen-Tenjingawa,Randen Arashiyama-Line
Randen-Tenjingawa,Sai,Randen Arashiyama-Line
Sai,Shijo-omiya,Randen Arashiyama-Line
Cable Sanjo,Myokenguchi Kurokawa,Myoken-no-mori Cable Line
Osaka Airport,Hotarugaike,Osaka Monorail
Hotarugaike,Senri-chuo,Osaka Monorail
Senri-chuo,Yamada,Osaka Monorail
Yamada,Bampaku-kinen-koen,Osaka Monorail
Bampaku-kinen-koen,Saito-nishi,Osaka Monorail
Bampaku-kinen-koen,Minami-ibaraki,Osaka Monorail
Minami-ibaraki,Dainichi,Osaka Monorail
Dainichi,Kadomashi,Osaka Monorail
Nishi-Maizuru,Miyazu,Kyoto Tango Railway Miyamai Line
Amanohashidate,Miyazu,Kyoto Tango Railway Miyatoyo Line
Amanohashidate,Toyooka,Kyoto Tango Railway Miyatoyo Line
Oe,Miyazu,Kyoto Tango Railway Miyafuku Line
Oe,Fukuchiyama,Kyoto Tango Railway Miyafuku Line
Kobe Airport,Sannomiya,Port Liner
Marine Park,Uozaki,Rokko Liner
Uozaki,Sumiyoshi,Rokko Liner
Sanyo-Himeji,Shikama,Sanyo Electric Railway Main Line
Oshio,Shikama,Sanyo Electric Railway Main Line
Oshio,Takasago,Sanyo Electric Railway Main Line
Takasago,Higashi-futami,Sanyo Electric Railway Main Line
Higashi-futami,Sanyo-Akashi,Sanyo Electric Railway Main Line
Sanyo-Akashi,Maiko-koen,Sanyo Electric Railway Main Line
Maiko-koen,Sanyo-Tarumi,Sanyo Electric Railway Main Line
Sanyo-Shioya,Tsukimiyama,Sanyo Electric Railway Main Line
Itayado,Tsukimiyama,Sanyo Electric Railway Main Line
Itayado,Nishidai,Sanyo Electric Railway Main Line
Shinkaichi,Minatogawa,Shintetsu Armia Line
Minatogawa,Suzurandai,Shintetsu Armia Line
Suzurandai,Ao,Shintetsu Ao Line
Ao,Hojomachi,Shintetsu Ao Line
Suzurandai,Tanigami,Shintetsu Armia Line
Tanigami,Arimaguchi,Shintetsu Armia Line
Arimaguchi,Armia Onsen,Shintetsu Armia Line
Arimaguchi,Yokoyama,Shintetsu Sanda Line
Yokoyama,Sanda,Shintetsu Sanda Line
Yokoyama,Woody Town Chuo,Shintetsu Koentoshi Line
Rokko Sanjo,Rokko Cable-shita,Rokko Cable Car
Sanyo-Shioya,Sanyo-Suma,Electric Railway Main Line
Sumaura-koen,Sanyo-Suma,Electric Railway Main Line
Sumaura-koen,Sanyo-Tarumi,Electric Railway Main Line